NGO_Name,state,Primary_SDG,Annual_Budget,Data_Assets,Infrastructure_Gap,Debt_Sensitivity,ZOPA_Flexibility
Bharat_Impact_NGO_0060,Odisha,SDG 17: Partnerships,4411565,Localized Crop Yield Data,Agri-Tech Sensors,Low,0.56
Bharat_Impact_NGO_0061,Tamil Nadu,SDG 9: Industry & Innovation,781337,Self-Help Group (SHG) Networks,Smart Village Grids,Low,0.88
Bharat_Impact_NGO_0062,Uttar Pradesh,SDG 4: Quality Education,1878307,Self-Help Group (SHG) Networks,Vernacular AI Models,High,0.88
Bharat_Impact_NGO_0063,Bihar,SDG 17: Partnerships,1187168,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.85
Bharat_Impact_NGO_0064,Odisha,SDG 13: Climate Action,2246785,Rural Land Records,Vernacular AI Models,Medium,0.19
Bharat_Impact_NGO_0065,West Bengal,SDG 9: Industry & Innovation,182359,Localized Crop Yield Data,Agri-Tech Sensors,High,0.49
Bharat_Impact_NGO_0066,Maharashtra,SDG 13: Climate Action,3886178,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.74
Bharat_Impact_NGO_0067,Rajasthan,SDG 17: Partnerships,432940,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,Low,0.73
Bharat_Impact_NGO_0068,Rajasthan,SDG 4: Quality Education,1209180,Localized Crop Yield Data,Smart Village Grids,Low,0.53
Bharat_Impact_NGO_0069,Maharashtra,SDG 4: Quality Education,3814195,Localized Crop Yield Data,Smart Village Grids,Low,0.12
Bharat_Impact_NGO_0070,Bihar,SDG 13: Climate Action,4648634,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Low,0.55
Bharat_Impact_NGO_0071,Maharashtra,SDG 13: Climate Action,4048720,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Low,0.43
Bharat_Impact_NGO_0072,Uttar Pradesh,SDG 4: Quality Education,1380461,Vernacular Language Datasets,Agri-Tech Sensors,Low,0.52
Bharat_Impact_NGO_0073,Odisha,SDG 4: Quality Education,735872,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.24
Bharat_Impact_NGO_0074,Bihar,SDG 13: Climate Action,1661508,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,High,0.1
Bharat_Impact_NGO_0075,Uttar Pradesh,SDG 9: Industry & Innovation,1168962,Traditional Craft Knowledge,Agri-Tech Sensors,High,0.47
Bharat_Impact_NGO_0076,Karnataka,SDG 4: Quality Education,1849948,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Medium,0.51
Bharat_Impact_NGO_0077,Rajasthan,SDG 17: Partnerships,2838928,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.76
Bharat_Impact_NGO_0078,Karnataka,SDG 4: Quality Education,3004380,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.28
Bharat_Impact_NGO_0079,Uttar Pradesh,SDG 17: Partnerships,4837744,Rural Land Records,Vernacular AI Models,Medium,0.61
Bharat_Impact_NGO_0080,Tamil Nadu,SDG 13: Climate Action,4436776,Vernacular Language Datasets,Smart Village Grids,High,0.54
Bharat_Impact_NGO_0081,Karnataka,SDG 17: Partnerships,3950652,Localized Crop Yield Data,Last-mile Fiber (BharatNet),Medium,0.19
Bharat_Impact_NGO_0082,West Bengal,SDG 9: Industry & Innovation,4857464,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.17
Bharat_Impact_NGO_0083,Bihar,SDG 9: Industry & Innovation,1222803,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.63
Bharat_Impact_NGO_0084,Uttar Pradesh,SDG 9: Industry & Innovation,167956,Localized Crop Yield Data,Agri-Tech Sensors,Medium,0.13
Bharat_Impact_NGO_0085,Maharashtra,SDG 13: Climate Action,1785302,Localized Crop Yield Data,Smart Village Grids,High,0.87
Bharat_Impact_NGO_0086,Gujarat,SDG 17: Partnerships,2190346,Vernacular Language Datasets,Smart Village Grids,Medium,0.57
Bharat_Impact_NGO_0087,Bihar,SDG 4: Quality Education,1925988,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Medium,0.12
Bharat_Impact_NGO_0088,Kerala,SDG 4: Quality Education,3038784,Vernacular Language Datasets,Vernacular AI Models,Medium,0.17
Bharat_Impact_NGO_0089,West Bengal,SDG 9: Industry & Innovation,1310260,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,Medium,0.29
Bharat_Impact_NGO_0090,Odisha,SDG 17: Partnerships,3325906,Rural Land Records,Last-mile Fiber (BharatNet),High,0.12
Bharat_Impact_NGO_0091,Kerala,SDG 9: Industry & Innovation,2344424,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),High,0.51
Bharat_Impact_NGO_0092,Uttar Pradesh,SDG 9: Industry & Innovation,3497966,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.38
Bharat_Impact_NGO_0093,West Bengal,SDG 13: Climate Action,492256,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.45
Bharat_Impact_NGO_0094,Gujarat,SDG 9: Industry & Innovation,2140674,Localized Crop Yield Data,Agri-Tech Sensors,High,0.3
Bharat_Impact_NGO_0095,Kerala,SDG 13: Climate Action,3495820,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.33
Bharat_Impact_NGO_0096,Rajasthan,SDG 9: Industry & Innovation,3149361,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.45
Bharat_Impact_NGO_0097,Bihar,SDG 13: Climate Action,4445293,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.77
Bharat_Impact_NGO_0098,Uttar Pradesh,SDG 9: Industry & Innovation,4593914,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Low,0.86
Bharat_Impact_NGO_0099,Rajasthan,SDG 13: Climate Action,438896,Traditional Craft Knowledge,Agri-Tech Sensors,High,0.17
Bharat_Impact_NGO_0100,West Bengal,SDG 4: Quality Education,700689,Localized Crop Yield Data,Vernacular AI Models,High,0.56
Bharat_Impact_NGO_0101,Maharashtra,SDG 13: Climate Action,1857433,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Medium,0.35
Bharat_Impact_NGO_0102,Tamil Nadu,SDG 17: Partnerships,4854809,Self-Help Group (SHG) Networks,Agri-Tech Sensors,High,0.85
Bharat_Impact_NGO_0103,Maharashtra,SDG 13: Climate Action,3313679,Rural Land Records,Smart Village Grids,Medium,0.75
Bharat_Impact_NGO_0104,Gujarat,SDG 9: Industry & Innovation,2017523,Rural Land Records,Vernacular AI Models,Low,0.56
Bharat_Impact_NGO_0105,Odisha,SDG 9: Industry & Innovation,195150,Localized Crop Yield Data,Agri-Tech Sensors,High,0.41
Bharat_Impact_NGO_0106,Karnataka,SDG 13: Climate Action,1670025,Localized Crop Yield Data,Vernacular AI Models,High,0.45
Bharat_Impact_NGO_0107,Maharashtra,SDG 17: Partnerships,3753254,Vernacular Language Datasets,Vernacular AI Models,Medium,0.84
Bharat_Impact_NGO_0108,Gujarat,SDG 17: Partnerships,788095,Vernacular Language Datasets,Last-mile Fiber (BharatNet),High,0.54
Bharat_Impact_NGO_0109,Bihar,SDG 4: Quality Education,3551042,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Low,0.49
Bharat_Impact_NGO_0110,Uttar Pradesh,SDG 4: Quality Education,3287048,Traditional Craft Knowledge,Vernacular AI Models,Low,0.84
Bharat_Impact_NGO_0111,Karnataka,SDG 4: Quality Education,3088396,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.11
Bharat_Impact_NGO_0112,Tamil Nadu,SDG 13: Climate Action,1778813,Localized Crop Yield Data,Vernacular AI Models,Low,0.38
Bharat_Impact_NGO_0113,Tamil Nadu,SDG 4: Quality Education,4641538,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.13
Bharat_Impact_NGO_0114,Tamil Nadu,SDG 17: Partnerships,4695453,Vernacular Language Datasets,Agri-Tech Sensors,Low,0.55
Bharat_Impact_NGO_0115,Karnataka,SDG 4: Quality Education,364465,Traditional Craft Knowledge,Vernacular AI Models,Low,0.49
Bharat_Impact_NGO_0116,West Bengal,SDG 13: Climate Action,2523591,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.26
Bharat_Impact_NGO_0117,Gujarat,SDG 13: Climate Action,4844455,Rural Land Records,Last-mile Fiber (BharatNet),Low,0.37
Bharat_Impact_NGO_0118,Maharashtra,SDG 13: Climate Action,4204702,Self-Help Group (SHG) Networks,Vernacular AI Models,Low,0.45
Bharat_Impact_NGO_0119,Kerala,SDG 13: Climate Action,3434924,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.2
Bharat_Impact_NGO_0120,Gujarat,SDG 9: Industry & Innovation,4225232,Rural Land Records,Vernacular AI Models,Medium,0.73
Bharat_Impact_NGO_0121,Odisha,SDG 9: Industry & Innovation,3076641,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.65
Bharat_Impact_NGO_0122,Odisha,SDG 17: Partnerships,3255064,Traditional Craft Knowledge,Vernacular AI Models,High,0.46
Bharat_Impact_NGO_0123,Rajasthan,SDG 4: Quality Education,4692895,Traditional Craft Knowledge,Smart Village Grids,Medium,0.12
Bharat_Impact_NGO_0124,Uttar Pradesh,SDG 9: Industry & Innovation,3653645,Rural Land Records,Vernacular AI Models,Low,0.4
Bharat_Impact_NGO_0125,Maharashtra,SDG 9: Industry & Innovation,1455805,Rural Land Records,Smart Village Grids,High,0.8
Bharat_Impact_NGO_0126,Bihar,SDG 17: Partnerships,2549535,Self-Help Group (SHG) Networks,Vernacular AI Models,Medium,0.36
Bharat_Impact_NGO_0127,Uttar Pradesh,SDG 13: Climate Action,4097172,Rural Land Records,Smart Village Grids,Low,0.8
Bharat_Impact_NGO_0128,Kerala,SDG 9: Industry & Innovation,2069820,Rural Land Records,Vernacular AI Models,Low,0.42
Bharat_Impact_NGO_0129,Gujarat,SDG 4: Quality Education,1553868,Self-Help Group (SHG) Networks,Vernacular AI Models,High,0.35
Bharat_Impact_NGO_0130,Odisha,SDG 13: Climate Action,651274,Vernacular Language Datasets,Vernacular AI Models,Low,0.8
Bharat_Impact_NGO_0131,Gujarat,SDG 13: Climate Action,3926262,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.54
Bharat_Impact_NGO_0132,Karnataka,SDG 13: Climate Action,3080790,Localized Crop Yield Data,Smart Village Grids,Medium,0.69
Bharat_Impact_NGO_0133,Tamil Nadu,SDG 17: Partnerships,822794,Rural Land Records,Smart Village Grids,High,0.83
Bharat_Impact_NGO_0134,West Bengal,SDG 4: Quality Education,667301,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,Low,0.27
Bharat_Impact_NGO_0135,Kerala,SDG 13: Climate Action,3739309,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Low,0.88
Bharat_Impact_NGO_0136,Gujarat,SDG 13: Climate Action,437533,Traditional Craft Knowledge,Smart Village Grids,Low,0.44
Bharat_Impact_NGO_0137,Gujarat,SDG 13: Climate Action,2779698,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.63
Bharat_Impact_NGO_0138,Bihar,SDG 17: Partnerships,3522704,Vernacular Language Datasets,Last-mile Fiber (BharatNet),High,0.11
Bharat_Impact_NGO_0139,Gujarat,SDG 13: Climate Action,2378496,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.57
Bharat_Impact_NGO_0140,Maharashtra,SDG 4: Quality Education,3458159,Vernacular Language Datasets,Agri-Tech Sensors,High,0.51
Bharat_Impact_NGO_0141,Karnataka,SDG 13: Climate Action,4905897,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Medium,0.42
Bharat_Impact_NGO_0142,Bihar,SDG 17: Partnerships,1122461,Localized Crop Yield Data,Vernacular AI Models,Medium,0.43
Bharat_Impact_NGO_0143,Karnataka,SDG 4: Quality Education,3819660,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.15
Bharat_Impact_NGO_0144,Kerala,SDG 4: Quality Education,2906125,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.36
Bharat_Impact_NGO_0145,Kerala,SDG 4: Quality Education,947186,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.2
Bharat_Impact_NGO_0146,Bihar,SDG 9: Industry & Innovation,3930724,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.41
Bharat_Impact_NGO_0147,Kerala,SDG 13: Climate Action,3155095,Vernacular Language Datasets,Smart Village Grids,Low,0.41
Bharat_Impact_NGO_0148,Bihar,SDG 13: Climate Action,4567280,Traditional Craft Knowledge,Agri-Tech Sensors,Medium,0.66
Bharat_Impact_NGO_0149,Karnataka,SDG 9: Industry & Innovation,2824831,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,High,0.55
Bharat_Impact_NGO_0150,Karnataka,SDG 9: Industry & Innovation,4515150,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Low,0.74
Bharat_Impact_NGO_0151,Maharashtra,SDG 17: Partnerships,1458124,Self-Help Group (SHG) Networks,Smart Village Grids,Medium,0.76
Bharat_Impact_NGO_0152,Karnataka,SDG 13: Climate Action,2893185,Self-Help Group (SHG) Networks,Smart Village Grids,Low,0.28
Bharat_Impact_NGO_0153,Bihar,SDG 13: Climate Action,2184065,Localized Crop Yield Data,Smart Village Grids,Low,0.54
Bharat_Impact_NGO_0154,Rajasthan,SDG 4: Quality Education,3296162,Localized Crop Yield Data,Smart Village Grids,Low,0.66
Bharat_Impact_NGO_0155,Tamil Nadu,SDG 13: Climate Action,4620318,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Low,0.74
Bharat_Impact_NGO_0156,Karnataka,SDG 17: Partnerships,67394,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.87
Bharat_Impact_NGO_0157,Tamil Nadu,SDG 17: Partnerships,4569642,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Medium,0.42
Bharat_Impact_NGO_0158,Uttar Pradesh,SDG 9: Industry & Innovation,3876719,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Low,0.18
Bharat_Impact_NGO_0159,Karnataka,SDG 13: Climate Action,2958095,Self-Help Group (SHG) Networks,Vernacular AI Models,Medium,0.62
Bharat_Impact_NGO_0160,Uttar Pradesh,SDG 13: Climate Action,1918312,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Medium,0.62
Bharat_Impact_NGO_0161,Kerala,SDG 4: Quality Education,3241583,Localized Crop Yield Data,Vernacular AI Models,Medium,0.42
Bharat_Impact_NGO_0162,Karnataka,SDG 9: Industry & Innovation,3522478,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Low,0.43
Bharat_Impact_NGO_0163,Uttar Pradesh,SDG 4: Quality Education,4118233,Rural Land Records,Vernacular AI Models,Low,0.1
Bharat_Impact_NGO_0164,Uttar Pradesh,SDG 13: Climate Action,4302516,Rural Land Records,Smart Village Grids,High,0.61
Bharat_Impact_NGO_0165,Karnataka,SDG 13: Climate Action,3003033,Rural Land Records,Vernacular AI Models,High,0.74
Bharat_Impact_NGO_0166,Bihar,SDG 17: Partnerships,798104,Traditional Craft Knowledge,Agri-Tech Sensors,High,0.64
Bharat_Impact_NGO_0167,Tamil Nadu,SDG 9: Industry & Innovation,915640,Localized Crop Yield Data,Smart Village Grids,Low,0.15
Bharat_Impact_NGO_0168,Odisha,SDG 13: Climate Action,1728823,Traditional Craft Knowledge,Vernacular AI Models,High,0.56
Bharat_Impact_NGO_0169,Odisha,SDG 4: Quality Education,4752904,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Medium,0.29
Bharat_Impact_NGO_0170,Rajasthan,SDG 4: Quality Education,2980627,Rural Land Records,Last-mile Fiber (BharatNet),Low,0.74
Bharat_Impact_NGO_0171,Odisha,SDG 13: Climate Action,330081,Rural Land Records,Smart Village Grids,High,0.48
Bharat_Impact_NGO_0172,Odisha,SDG 13: Climate Action,1338043,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.61
Bharat_Impact_NGO_0173,Gujarat,SDG 17: Partnerships,1321266,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,Low,0.16
Bharat_Impact_NGO_0174,West Bengal,SDG 17: Partnerships,222495,Vernacular Language Datasets,Vernacular AI Models,Medium,0.57
Bharat_Impact_NGO_0175,West Bengal,SDG 13: Climate Action,1642633,Self-Help Group (SHG) Networks,Smart Village Grids,High,0.27
Bharat_Impact_NGO_0176,Tamil Nadu,SDG 17: Partnerships,3204662,Localized Crop Yield Data,Vernacular AI Models,High,0.26
Bharat_Impact_NGO_0177,Tamil Nadu,SDG 13: Climate Action,4478655,Vernacular Language Datasets,Smart Village Grids,High,0.69
Bharat_Impact_NGO_0178,Karnataka,SDG 4: Quality Education,3792147,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.8
Bharat_Impact_NGO_0179,Odisha,SDG 13: Climate Action,1228167,Localized Crop Yield Data,Last-mile Fiber (BharatNet),Low,0.14
Bharat_Impact_NGO_0180,Odisha,SDG 9: Industry & Innovation,3628273,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,Low,0.37
Bharat_Impact_NGO_0181,Maharashtra,SDG 9: Industry & Innovation,676057,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.28
Bharat_Impact_NGO_0182,Maharashtra,SDG 9: Industry & Innovation,830875,Vernacular Language Datasets,Smart Village Grids,High,0.72
Bharat_Impact_NGO_0183,Bihar,SDG 9: Industry & Innovation,4322968,Rural Land Records,Tier-3 City Cloud Infrastructure,High,0.67
Bharat_Impact_NGO_0184,Maharashtra,SDG 17: Partnerships,1932165,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Medium,0.12
Bharat_Impact_NGO_0185,Uttar Pradesh,SDG 17: Partnerships,860039,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.41
Bharat_Impact_NGO_0186,Rajasthan,SDG 17: Partnerships,1937323,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.68
Bharat_Impact_NGO_0187,Karnataka,SDG 9: Industry & Innovation,536683,Rural Land Records,Smart Village Grids,Medium,0.34
Bharat_Impact_NGO_0188,Odisha,SDG 9: Industry & Innovation,2728919,Self-Help Group (SHG) Networks,Smart Village Grids,Low,0.83
Bharat_Impact_NGO_0189,Odisha,SDG 9: Industry & Innovation,4614819,Traditional Craft Knowledge,Smart Village Grids,High,0.87
Bharat_Impact_NGO_0190,Bihar,SDG 17: Partnerships,968847,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,Low,0.18
Bharat_Impact_NGO_0191,Maharashtra,SDG 9: Industry & Innovation,3152184,Vernacular Language Datasets,Vernacular AI Models,Low,0.62
Bharat_Impact_NGO_0192,Bihar,SDG 4: Quality Education,3982205,Traditional Craft Knowledge,Vernacular AI Models,Low,0.53
Bharat_Impact_NGO_0193,Karnataka,SDG 17: Partnerships,1172764,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.5
Bharat_Impact_NGO_0194,Kerala,SDG 13: Climate Action,3264294,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.2
